AS209297,NICHI YOROZUYA LTD
AS58867,SG.GS Anycast AS
AS19983,Global Technology Partners LLC
AS23473,PAVLOV MEDIA INC
AS21556,NASA Ames Research Center - E-root
AS61455,LACTLD - LATIN AMERICAN AND CARIBBEAN TLD ASSOCIATION
AS24482,SG.GS
AS53343,sc Network
AS55219,"Cisco Systems, Inc."
AS139057,Legend Dynasty Pte. Ltd.
AS201303,CentralNic Ltd
AS29067,Hostmaster LLC
AS36344,Virtuozzo Inc.
AS41135,Voxbone SA
AS209242,Cloudflare BYOIP Customers
AS19527,Google LLC (Google Cloud)
AS150974,Dinas Komunikasi dan Informatika Kabupaten Tapin
AS20021,"Ntirety, Inc."
AS63023,GTHost
AS216206,Aphrodite Group Ltd
AS28180,DIGITRO TECNOLOGIA LTDA.
AS35052,ACONET
AS60423,E-Money Net Developers 24 Company Private Joint Stock
AS329002,Pan African IX Data Centres Kenya Ltd
AS2559,VISA INTERNATIONAL SERVICE ASSOCIATION
AS210562,WURZELLOS LLC
AS17275,Federal Home Loan Mortgage Corporation
AS396002,TeleVoIPs
AS132647,Pengelola Nama Domain Internet Indonesia
AS64011,APNIC ASN block
AS11351,Charter Communications Inc
AS396654,Verisign Anycast US 2K
AS214955,Weikang Zeng
AS10880,Yahoo Holdings Inc.
AS393518,"ClaimRemedi, Inc."
AS61866,INTELBRAS S.A. INDUSTRIA DE TELECOMUNICACAO ELETRO
AS7500,WIDE Project - M-root
AS41954,Anverino Software SRL
AS199535,Bet Invest LTD
AS33905,Akamai International B.V.
AS19054,Nath Network & Telecom Inc
AS133504,PAOCLOUD
AS63341,"ROKI America Co., Ltd."
AS394089,Google LLC
AS51044,Kazuki Yamaguchi
AS42692,Overweb Srl
AS199289,Kobalt ApS
AS396417,"Salesforce, Inc."
AS59188,IndianOil Corporation Limited
AS48447,Sectigo Limited
AS44273,Host Europe GmbH
AS1508,U.S. Army Research Lab - H-root
AS30114,Decima LLC
AS26710,ICANN
AS208414,"WEDOS Internet, a.s."
AS273584,LINKED STORE BRASIL CRIACAO E DESENVOL DE SOFTWARE
AS142052,Mempool Space K.K.
AS43298,Storm Networks LLC
AS209650,Wu Zhiyuan
AS12488,Krystal Hosting Ltd
AS48053,Foundation of Research and Technology Hellas
AS63911,"NetActuate, Inc"
AS394354,Canadian Internet Registration Authority
AS18229,CtrlS
AS204487,Fabio Tomas
AS19648,Corporation of the Presiding Bishop of the Church of ...
AS213119,ALZ Software Ltd
AS211072,MFI INVESTMENTS LIMITED
AS135354,NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD.
AS32771,DNSimple Corporation
AS48231,"CRE Network, LLC"
AS12041,"Afilias, Inc."
AS214618,Hack The Box Ltd
AS24334,Cyberport Hong Kong
AS140614,"ASIA-ISP CO., LIMITED"
AS17378,"TierPoint, LLC"
AS16552,Tiggee LLC
AS401782,"Boku, Inc."
AS147008,Shenzhen Dianjiang Technology Co Ltd
AS10796,Charter Communications Inc
AS266444,3L CLOUD INTERNET SERVICES LTDA - EPP
AS53292,ManagedWay
AS12567,GAIJIN NETWORK LTD
AS211575,Rui Feng
AS187,DNScast
