AS174,"""Cogent Communications", LLC"
AS577,Bell Canada
AS701,Verizon Business
AS702,Verizon Business - EMEA
AS803,Saskatchewan Telecommunications
AS812,Rogers Communications Canada Inc.
AS852,TELUS Communications Inc.
AS1136,KPN B.V.
AS1239,Sprint Wireline (Cogent)
AS1257,Tele2 Sverige AB
AS1267,WIND TRE S.P.A.
AS1273,Vodafone Group PLC
AS1759,Telia Finland Oyj
AS1764,Next Layer Telecommunications
AS1820,WNET TELECOM USA Corp.
AS2116,GLOBALCONNECT AS
AS2119,Telenor Norge AS
AS2514,"""NTT PC Communications", Inc."
AS2516,KDDI Corporation
AS2518,BIGLOBE Inc.
AS2519,ARTERIA Networks Corporation
AS2527,Sony Network Communications Inc.
AS2586,Elisa Eesti AS
AS2588,Bite Latvia
AS3170,VeloxServ Communications Ltd
AS3209,Vodafone GmbH
AS3212,Telemach Slovenija d.o.o.
AS3243,MEO
AS3257,GTT Communications Inc.
AS3269,TIM S.p.A. (fka. Telecom Italia S.p.A.)
AS3303,Swisscom (Schweiz) AG
AS3320,Deutsche Telekom AG
AS3326,Datagroup PJSC
AS3327,CITIC Telecom CPC Netherlands B.V.
AS3399,Obenet AB
AS3462,HiNet (Chunghwa Telecom)
AS3549,Lumen (fka. Global Crossing)
AS3695,SPM TELECOM (Orange)
AS3737,PenTeleData Inc.
AS3758,SingNet
AS4134,China Telecom Backbone
AS4230,Claro (Embratel)
AS4382,PT Indonusa System Integrator Prima
AS4474,"""TCT West", Inc."
AS4515,PCCW IMS Ltd (PCCW Business Internet Access)
AS4540,SOGETEL INC
AS4618,Internet Thailand Company Limited
AS4628,Pacific Internet Pte Ltd
AS4648,Spark New Zealand
AS4651,The Communications Authority of Thailand (CAT)
AS4657,StarHub Ltd
AS4761,PT Indosat Tbk
AS4764,Aussie Broadband
AS4775,Globe Telecoms
AS4787,PT Cyberindo Aditama
AS4788,TM Technology Services Sdn. Bhd.
AS4800,PT Aplikanusa Lintasarta
AS4804,Optus (Microplex PTY LTD)
AS4808,China Unicom Beijing Province Network
AS4812,China Telecom Shanghai Province Network
AS4826,Vocus Connect International Backbone
AS4837,China Unicom Backbone
AS4847,China Telecom Beijing Province Network
AS5089,Virgin Media Limited
AS5413,Wavenet Limited
AS5503,RM Education Ltd
AS5518,SIA Tet
AS5524,Signet B.V.
AS5650,Frontier Communications
AS5713,Telkom SA Ltd.
AS5742,Fidium
AS6306,"""TELEFONICA VENEZOLANA", C.A. (Movistar)"
AS6568,Entel Bolivia
AS6621,"""Hughes Network Systems", LLC"
AS6677,Míla hf
AS6717,Internet Central Limited
AS6747,SIA Tet
AS6752,"""ANDORRA TELECOM", S.A.U."
AS6758,Monaco Telecom S.A.
AS6810,"""""Bezeq""""- THE ISRAEL TELECOMMUNICATION CORP. LTD."
AS6830,Liberty Global B.V.
AS6848,Telenet BV
AS7049,Silica Networks Argentina S.A.
AS7106,"""Com Net", Inc."
AS7155,"""ViaSat",Inc."
AS7303,Telecom Argentina S.A.
AS7473,Singapore Telecommunications Ltd
AS7474,SingTel Optus Pty Ltd
AS7545,TPG Telecom Limited
AS7600,EscapeNet Pty Ltd
AS7713,PT Telkom Indonesia Tbk
AS7738,V.tal
AS7782,"""Alaska Communications Systems Group", Inc."
AS7843,Charter Communications Inc
AS7922,"""Comcast Cable Communications", LLC"
AS8048,"""CANTV Servicios", Venezuela"
AS8053,IFX Networks Venezuela C.A.
AS8092,"""Access Media Holdings", LLC"
AS8167,V.tal
AS8194,Latvia State Radio and Television Centre
AS8218,Zayo Europe
AS8220,COLT
AS8280,SYNAPSECOM S.A. Provider of Telecommunications and In...
AS8359,MTS PJSC
AS8368,Destiny N.V
AS8386,Vodafone Turkey
AS8412,T-Mobile Austria GmbH
AS8422,NetCologne
AS8452,Telecom Egypt
AS8468,Cityfibre Limited
AS8473,Bahnhof AB
AS8612,Tiscali Italia S.P.A.
AS8708,DIGI ROMANIA S.A.
AS8751,MEDIA SAT SRL
AS8758,Iway AG
AS8818,Tusass A/S
AS8851,GCI Network Solutions Limited
AS8881,1&1 Versatel GmbH
AS8896,GLOBALCONNECT AS
AS8916,Portfast Ltd
AS8953,Orange Romania S.A.
AS8968,BT Italia S.p.A.
AS9002,RETN Limited
AS9009,M247 Europe SRL
AS9021,Is Net Elektonik Bilgi Uretim Dagitim Ticaret ve Ilet...
AS9063,VSE NET GmbH
AS9121,Turk Telekom
AS9136,WOBCOM GmbH
AS9145,EWE TEL GmbH
AS9228,PT Total Info Kharisma
AS9231,China Mobile Hong Kong Company Limited
AS9268,Over The Wire Pty Ltd
AS9269,Hong Kong Broadband Network Ltd.
AS9293,NTT Com Asia Limited
AS9299,PLDT (Philippine Long Distance Telephone Company)
AS9304,HGC Global Communications Limited
AS9326,PT Centrin Utama
AS9340,PT Indointernet Tbk
