AS71,Hewlett Packard Enterprise
AS161,Texas Instruments Incorporated
AS297,National Aeronautics and Space Administration
AS929,KIRINO LLC
AS992,Modest Labs LLC
AS1011,Accutar Biotechnology (Canada) Inc.
AS1660,Verizon Business
AS1738,OP Osuuskunta
AS1780,Valmet Oyj
AS2562,Texas Instruments Incorporated
AS2639,ZOHO
AS2877,Latvian Shipping Company
AS3298,Societe Generale S.A.
AS3332,Swedbank Estonia
AS3333,Reseaux IP Europeens Network Coordination Centre (RIPE NCC)
AS3379,"""Kaiser Foundation Health Plan", Inc."
AS3743,Cleveland Cliffs Steel LLC
AS4622,Indonesia Network Information Center
AS4783,SYSTEX Corporation
AS5091,"""Stripe", Inc."
AS5413,Wavenet Limited
AS5420,Kemira Oyj
AS5536,Xyberdata
AS6507,"""Riot Games", Inc"
AS6707,D-Market Elektronik Hizmetler Tic. A.S.
AS6833,Terranets bw GmbH
AS6852,UB Securities Ltd.
AS7345,Nokia of America Corporation (fka. Alcatel-Lucent)
AS7726,FedEx Internet Technologies Corporation
AS8218,Zayo Europe
AS8221,ISABEL N.V.
AS8240,Information System Authority Republic of Estonia
AS8303,Westdeutscher Rundfunk Köln
AS8315,Accenture B. V.
AS8373,Deutsche Bank AG
AS8454,FMO Flughafen Muenster/Osnabrueck GmbH
AS8518,Radio Free Europe/Radio Liberty
AS8528,RENAULT SAS
AS8549,Kyndryl Deutschland Aviation Industry Services GmbH
AS8983,Nokia Solutions and Networks Oy
AS9091,Swedbank Latvia
AS9099,Finanz Informatik GmbH & Co. KG
AS9159,Credit Agricole SA
AS9221,HSBC HongKong
AS9293,NTT Com Asia Limited
AS9341,PT Indonesia Comnets Plus
AS9423,"""ServerKing.io", LLC"
AS9498,Bharti Airtel Ltd.
AS10248,"""Blue Ridge Bankshares", Inc."
AS10273,Florida Power & Light Company
AS11106,"""Wolfram Research", Inc."
AS11281,Roblox (Office)
AS11323,"""Getty Images (Seattle)", Inc."
AS11652,"""Kaiser Aluminum Fabricated Products", L.L.C."
AS11703,MaRS Discovery District
AS11740,Progressive Casualty Insurance Company
AS11820,"""Wikimedia Foundation", Inc."
AS11913,Elevate Homescriptions
AS12291,Deutsche Post AG
