AS2121,RIPE Meeting Network
AS11185,DreamHack Inc
AS13020,Chaos Computer Club Veranstaltungsgesellschaft mbH
AS13058,serve-u - Buchholz und Sünderhauf GbR
AS17674,IWNOC25-NET
AS18248,Taiwan Network Operators' Group (TWNOG)
AS19230,NANOG
AS21067,KANDU
AS24555,APNIC Event Network
AS36263,Amazon re:Invent
AS47671,Novacorp Networks Limited
AS53565,Hoyos Event Networks LLC
AS56554,IETF Event Network
AS60079,Electromagnetic Field Ltd.
AS60109,Vectorama LAN Party
AS62081,Stowarzyszenie e-Poludnie
AS62392,FOSDEM VZW
AS64404,Stichting EventInfra
AS197347,Allianz Arena Muenchen Stadion GmbH
AS197753,QuadV Ltd
AS215185,Entropia e.V.
