AS17,Purdue University
AS42,"""WoodyNet", Inc."
AS137,Consortium GARR
AS174,"""Cogent Communications", LLC"
AS187,DNScast
AS224,Sikt (Uninett)
AS378,IUCC - Israel InterUniversity Computation Center
AS559,SWITCH
AS701,Verizon Business
AS721,United States Department of Defense (DoD)
AS766,Entidad Publica Empresarial Red.es
AS786,Jisc Services Limited
AS1120,ACONET
AS1508,U.S. Army Research Lab - H-root
AS1653,Vetenskapsrådet / SUNET
AS1741,CSC - Tieteen tietotekniikan keskus Oy
AS1797,Uruguay
AS1835,Forskningsnettet - Danish NREN
AS1850,Internet á Íslandi hf
AS1853,ACONET
AS1921,ipcom GmbH
AS1930,"""Fundacao para a Ciencia e a Tecnologia", I.P."
AS1955,KIFU (Governmental Info Tech Development Agency)
AS2107,ARNES
AS2108,Croatian Academic and Research Network
AS2116,GLOBALCONNECT AS
AS2149,Cogent - C-root
AS2200,Renater
AS2484,AFNIC (Association Francaise pour le Nommage Internet...
AS2486,AFNIC (Association Francaise pour le Nommage Internet...
AS2497,Internet Initiative Japan Inc.
AS2500,WIDE Project
AS2515,Japan Network Information Center
AS2561,Egyptian Universities Network (EUN)
AS2597,Consiglio Nazionale delle Ricerche
AS2602,Fondation RESTENA
AS2603,NORDUnet
AS2609,Tunisia BackBone AS
AS2833,Umeå University
AS2907,Science Information Network
AS2914,"""NTT America", Inc."
AS3130,RGnet OU
AS3132,Red Cientifica Peruana
AS3208,Algerian Academic Research Network
AS3215,Orange S.A.
AS3221,Estonian Education and Research Network
AS3233,Institutul National de Cercetare-Dezvoltare in inform...
AS3238,Ålands Telekommunikation Ab
AS3245,Digital Systems Ltd
AS3257,GTT Communications Inc.
AS3320,Deutsche Telekom AG
AS3462,HiNet (Chunghwa Telecom)
AS3551,Universidad Tecnologica de Panama
AS3557,ISC - F-root
AS3561,Lumen (ex. Savvis)
AS3582,University of Oregon
AS3586,University of the West Indies
AS3661,The Chinese University of Hong Kong
AS3741,Dimension Data
AS4538,China Education and Research Network Center
AS4609,Companhia de Telecomunicacoes de Macau SARL
AS4613,Mercantile Office Systems
AS4621,UNINET-TH
AS4641,The Hong Kong Internet Exchange Limited
AS4780,Digital United Inc.
AS4837,China Unicom Backbone
AS5087,Lanka Communication Services
AS5408,National Infrastructures for Research and Technology S.A.
AS5538,Institute of Mathematics and Computer Science of University of Latvia
AS5927,United States Department of Defense (DoD)
AS6057,Administracion Nacional de Telecomunicaciones
AS6713,Maroc Telecom
AS6736,Institute for Research in Fundamental Sciences
AS6758,Monaco Telecom S.A.
AS6968,ZA CENTRAL REGISTRY NPC
AS7500,WIDE Project - M-root
AS7642,DHIVEHI RAAJJEYGE GULHUN PLC
AS8048,"""CANTV Servicios", Venezuela"
AS8075,Microsoft Corporation
AS8346,SONATEL-AS Autonomous System
AS8365,Man-da.de GmbH
AS8400,Telekom Srbija a.d.
AS8414,International Telecommunication Union
AS8452,Telecom Egypt
AS8473,Bahnhof AB
AS8511,ASIAINFO TE
AS8517,National Academic Network and Information Center
AS8522,Foundation of Research and Technology Hellas
AS8561,Knipp Medien und Kommunikation GmbH
AS8670,University of Sarajevo
AS8674,Netnod AB
AS8680,Sure (Guernsey) Limited
AS8763,DENIC eG
AS8781,Ooredoo Q.S.C.
AS8818,Tusass A/S
AS8895,King Abdul Aziz City for Science and Technology
AS8934,National Information Technology Center
AS8978,Holy See - Vatican City State
AS9264,Academia Sinica
AS9311,HITRON TECHNOLOGY INC.
AS9329,Sri Lanka Telecom Internet
AS9335,National Telecom Public Company Limited
AS9464,Prince of Songkla University (Sritrang'NET)
AS9471,ONATI
AS9484,Mobinet LLC. AS Mobinet Internet Service Provider
AS9735,Hong Kong Domain Name Registration Co. Ltd
AS9924,"""Taiwan Fixed Network", Telco and Network Service Provider."
AS10094,Unified National Networks
AS10131,Telecom Cook Islands
AS10569,Red CENIAInternet
AS10886,University of Maryland
AS10906,Núcleo de Informação e Coordenação do Ponto BR - NIC.BR
AS11081,United Telecommunication Services (UTS)
AS11284,Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
AS11644,Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
AS11816,SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V.
AS12008,Vercara (f.k.a Neustar)
AS12041,"""Afilias", Inc."
AS12046,Malta Internet Foundation
AS12136,Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
AS12303,Magyarorszagi Internet Szolgaltatok Tanacsa Tudomanyo...
AS12486,TeleYemen
AS12975,Palestine Telecommunications Company (PALTEL)
AS12996,Domeneshop AS
AS13335,"""Cloudflare", Inc."
AS13682,Telgua
AS14061,DigitalOcean LLC
AS14618,"""Amazon.com", Inc."
AS14650,Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
AS14813,Columbus Telecommunications (Barbados) Limited
AS14988,Botswana Telecommunications Corporation
AS15083,Infolink Global Corporation
AS15169,Google LLC
AS15395,Rackspace Ltd.
AS15433,Telecom Italia San Marino S.p.A
AS15606,NASK (dns.pl)
AS15739,Berytech SCAL
AS15766,Domicilium (IOM) Limited
AS15815,INTRA Network Systems Ltd
AS15924,Vodafone Turkey
AS15964,CAMTEL
AS15975,Hadara Technologies Private Shareholding Company
AS16004,MIX S.r.L. - Milan Internet eXchange
AS16086,DNA Oyj
AS16214,C.E.R.I.S.T.
AS16276,OVH SAS
AS16509,"""Amazon.com", Inc."
AS16686,"""easyDNS Technologies", Inc."
AS17470,Hutchison Telecommunications Lanka (Private) Limited
AS17494,Bangladesh Telegraph & Telephone Board
AS17709,Asia Pacific Telecom
AS17726,Telecom Cambodia
AS17828,PNG DATACO LTD
AS18001,Dialog Axiata PLC.
AS18024,Bhutan Telecom Ltd
