AS86,DXC US Latin America Corporation
AS168,University of Massachusetts - AMHERST
AS177,University of Michigan
AS266,IT Digital Services LLC
AS618,United States Department of Defense (DoD)
AS809,PhirePhly Design
AS922,GoCodeIT Inc
AS949,xTom
AS950,Milehighwalrus Network
AS959,"""OHANACRAFT", LLC"
AS972,"""Cofractal", Inc."
AS982,Packetframe
AS993,"""SUN FIBER", LLC"
AS1051,"""Ridge Tower Network", LLC"
AS1075,Wiseinfotec.net LLC
AS1239,Sprint Wireline (Cogent)
AS2599,"PJSC """"Vimpelcom"""""
AS2604,Graz University of Music and Performing Arts
AS2766,"PJSC """"Vimpelcom"""""
AS3178,FastLine For Communication And Information Technology Ltd
AS3305,Societe Francaise Du Radiotelephone - SFR SA
AS3381,Maui High Performance Computing Center
AS3559,Korea Telecom
AS3943,"""CISCO SYSTEMS", INC."
AS4221,United States Department of Defense (DoD)
AS4743,ISIF LIMITED
AS5132,United States Department of Defense (DoD)
AS5543,Joint Stock Company TransTeleCom
AS5669,"""GTT Americas", LLC"
AS5887,US Army HPC Research Laboratory
AS5980,US Air Force HPC Research Laboratory
AS6025,United States Department of Defense (DoD)
AS6043,United States Department of Defense (DoD)
AS6067,Pulsant - Onyx Group
AS6369,Netrunner Inc
AS6494,"""Cogent Communications", LLC"
AS6584,Microsoft Corporation
AS6714,T-Mobile Polska S.A.
AS6731,MTS PJSC
AS6766,Chaos Computer Club Darmstadt e.V.
AS6837,Swisscom (Schweiz) AG
AS6890,Internet Resources Management SRL
AS6994,Fastmetrics
AS7201,Network Edge LLC
AS7257,Great Plains Connect
AS7354,"""DediOutlet", LLC"
AS7480,Tsung-Yi Yu
AS8229,KiberNet Kft.
AS8246,T-Mobile Polska S.A.
AS8485,Joint Stock Company TransTeleCom
AS8695,"Private Enterprise """"Law Firm """"Status"""""
AS8755,"PJSC """"Vimpelcom"""""
AS8773,"PJSC """"Vimpelcom"""""
AS8882,AS8882 s.r.o.
AS8938,T-Mobile Polska S.A.
AS8949,Johan Hedberg
AS9107,Adman LLC
AS9164,"""""R-TEL"""" LLC"
AS9267,Pang-Wei Tsai
AS9425,Future Internet Technology Infrastructure (FITI)
AS9516,SAKURA LINK LIMITED
AS10104,BV K Computer
AS10941,Genuine Telecom
AS11006,HRTec
AS11021,North Valley Hospital
AS11263,"""Bell Tower Integration", Inc."
AS11761,kkcloud
AS11873,U.S. Agency for International Development
AS11938,NCRYPTD LLC
AS11944,LaValle Telephone Cooperative
AS12196,Etsy Inc.
AS12220,I-Evolve Technology Services
AS12474,Momax Network S.r.l.
AS12635,Hutchison Drei Austria GmbH
AS12647,Orbital Net Ltd
AS12857,Manage Now GmbH
AS12879,"JSC """"Oil Transportation and Production Telecommunications"""""
AS13362,"""General Research Laboratories", LLC"
AS13646,Plactrix Technologies
AS13687,Love City Community Network
AS13696,NetFuture Technology LLC
AS13898,Smart Mobile LLC
AS13956,"""Richland-Grant Telephone Cooperative", Inc."
AS14077,Ambient Broadband
AS14338,KORE Wireless
AS14447,Infinitron Internet LLC
AS14482,Lab47
AS14815,Jaxx Aerospace & Defense Company
AS14874,PITTQIAO LLC
AS15040,ERR_AS_NAME_NOT_FOUND
AS15167,ERR_AS_NAME_NOT_FOUND
AS15201,Universo Online S.A.
AS15218,Cox Communications Inc.
AS15333,"""Apple Network", LLC"
AS15890,Societe Francaise Du Radiotelephone - SFR SA
AS16140,MEDIACTIVE SAS
AS16175,Signal Bredband AS
AS16245,Sentia Denmark A/S
AS16375,Henrik Hartelius
AS16626,zColo
AS16635,Pomona Consulting LLC
AS16926,KittyTransit LLC
AS17045,NGA 911
AS17433,Hytron Network Services Limited
AS17717,"""Ministry of Education Computer Center Taipei", Taiwan"
AS17719,SingTel Optus Pty Ltd
AS17796,Philippine Long Distance Telephone Company
AS17818,LNK SYSTEMS MUNTENIA SRL
AS18585,Velox Wireless Inc.
AS18607,Gustav Caplan
AS18636,ONDRYA LLC
AS18717,"""Akamai Technologies", Inc."
AS18799,gremlin.ca
AS18909,Net-Xpert Consulting
AS18932,"""StepBroBD", Inc."
AS19117,Heavy Computing
AS19285,Outlaw Logistics LLC
AS19330,Tritan Internet LLC
AS19418,Minnesota Brain Injury Alliance
AS19451,Electro Cloud
AS19517,Visual Link
AS19748,Sector Link LLC.
AS20447,Kitauji Networks LLC
AS20459,Telecom Namibia
AS20993,Momax Network S.r.l.
AS21658,Chameleon Labs LLC
AS21662,"""OnGlobix", LLC"
AS21687,Crown Castle Fiber LLC
AS21991,BNS Services LLC
AS22400,Web2Objects LLC
AS22599,"""365Internet", Inc."
AS22729,"""Peterson Farms", Inc."
AS22767,National Aeronautics and Space Administration
AS23121,Nisx Inc.
AS23449,Exodo LLC
AS23736,TM TECHNOLOGY SERVICES SDN. BHD.
AS23910,China Next Generation Internet CERNET2
AS24082,DHIVEHI RAAJJEYGE GULHUN PLC
AS24121,Equinix Asia Pacific
AS24124,LightNetwork Computing Limited
AS24144,"""Wuhan LSHIY Network Technology Co.", Ltd."
AS24157,Taiwan Star Telecom Corporation Limited.(Former Vibo ...
AS24239,TWD2 Education and Research Network
AS24302,CRIS-CERNET
AS24351,CERNET2 IX at Beijing University of Aeronautics and A...
AS24354,CERNET2 IX at Lanzhou University
AS24356,CERNET2 IX at Chongqing University
AS24359,CERNET2 IX at Central South University
AS24360,CERNET2 IX at Zhengzhou University
AS24365,CERNET2 IX at Fudan University
AS24366,CERNET2 IX at Tongji University
AS24367,CERNET2 IX at Zhejiang University
AS24368,CERNET2 IX at Xiamen University
AS24381,BGP.Exchange
