AS577,Bell Canada
AS701,Verizon Business
AS719,Elisa Oyj
AS803,Saskatchewan Telecommunications
AS812,Rogers Communications Canada Inc.
AS852,TELUS Communications Inc.
AS1136,KPN B.V.
AS1221,Telstra Limited
AS1239,Sprint Wireline (Cogent)
AS1257,Tele2 Sverige AB
AS1267,WIND TRE S.P.A.
AS1759,Telia Finland Oyj
AS2119,Telenor Norge AS
AS2586,Elisa Eesti AS
AS2860,"""NOS COMUNICACOES", S.A."
AS3209,Vodafone GmbH
AS3212,Telemach Slovenija d.o.o.
AS3215,Orange S.A.
AS3225,Bonline aka GULF communications
AS3243,MEO
AS3269,TIM S.p.A. (fka. Telecom Italia S.p.A.)
AS3303,Swisscom (Schweiz) AG
AS3308,Telia Company AB (Denmark)
AS3320,Deutsche Telekom AG
AS3329,Vodafone Greece
AS3352,TELEFONICA DE ESPANA S.A.U.
AS3462,HiNet (Chunghwa Telecom)
AS3695,SPM TELECOM (Orange)
AS4134,China Telecom Backbone
AS4230,Claro (Embratel)
AS4609,Companhia de Telecomunicacoes de Macau SARL
AS4713,NTT Communications Corporation (OCN)
AS4725,SoftBank Corp.
AS4761,PT Indosat Tbk
AS4766,Korea Telecom
AS4771,Spark New Zealand Trading Ltd.
AS4773,M1 Limited
AS4775,Globe Telecoms
AS4804,Optus (Microplex PTY LTD)
AS4808,China Unicom Beijing Province Network
AS4812,China Telecom Shanghai Province Network
AS4818,DiGi Telecommunications Sdn. Bhd.
AS4837,China Unicom Backbone
AS4847,China Telecom Beijing Province Network
AS5089,Virgin Media Limited
AS5410,Bouygues Telecom SA
AS5432,Proximus NV
AS5607,Sky UK
AS5617,Orange Polska Spolka Akcyjna
AS5713,Telkom SA Ltd.
AS6167,Verizon Business
AS6306,"""TELEFONICA VENEZOLANA", C.A. (Movistar)"
AS6327,Shaw Communications
AS6568,Entel Bolivia
AS6661,POST Luxembourg
AS6677,Míla hf
AS6730,Sunrise GmbH
AS6739,"""VODAFONE ONO", S.A."
AS6752,"""ANDORRA TELECOM", S.A.U."
AS6758,Monaco Telecom S.A.
AS6805,Telefonica Germany (o2)
AS6848,Telenet BV
AS7018,"""AT&T Enterprises", LLC"
AS7303,Telecom Argentina S.A.
AS7418,TELEFÓNICA CHILE S.A.
AS7438,PEGASO PCS
AS7713,PT Telkom Indonesia Tbk
AS8014,Bahamas Telecommunications Corporation
AS8151,UNINET
AS8359,MTS PJSC
AS8374,Polkomtel Sp. z o.o.
AS8386,Vodafone Turkey
AS8400,Telekom Srbija a.d.
AS8412,T-Mobile Austria GmbH
AS8437,Hutchison Drei Austria GmbH
AS8447,A1 Telekom Austria AG
AS8452,Telecom Egypt
AS8681,JT (Jersey) Limited
AS8697,Jordan Telecommunications PSC
AS8708,DIGI ROMANIA S.A.
AS8758,Iway AG
AS8781,Ooredoo Q.S.C.
AS8818,Tusass A/S
AS8881,1&1 Versatel GmbH
AS8953,Orange Romania S.A.
AS9121,Turk Telekom
AS9231,China Mobile Hong Kong Company Limited
AS9249,Telecom Vanuatu Limited
AS9299,PLDT (Philippine Long Distance Telephone Company)
AS9341,PT Indonesia Comnets Plus
AS9498,Bharti Airtel Ltd.
AS9500,One New Zealand Group Limited
AS9534,Maxis
AS9605,"""NTT DOCOMO", INC."
AS9644,SK Telecom
AS9674,"""Far EastTone Telecommunication Co.", Ltd."
AS9790,Two Degrees Networks Limited
AS9808,China Mobile Backbone
AS9829,BSNL (Bharat Sanchar Nigam Ltd)
AS9924,"""Taiwan Fixed Network", Telco and Network Service Provider."
AS10010,TOKAI Communications Corporation
AS10030,Celcom Axiata Berhad
AS10139,"""Smart Broadband", Inc."
AS10750,Mark Twain Rural Telephone Co.
AS11139,Cable & Wireless Dominica
AS11172,"""Alestra", S. de R.L. de C.V."
AS11816,SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V.
AS11992,Liberty Mobile Puerto Rico Inc.
AS12297,Telecom Armenia OJSC
AS12302,Vodafone Romania S.A.
AS12353,Vodafone Portugal - Communicacoes Pessoais S.A.
AS12372,Cubic Telecom Limited
AS12389,PJSC Rostelecom
AS12430,VODAFONE ESPANA S.A.U.
AS12576,EE Limited
AS12578,SIA Tet
AS12912,T-Mobile Polska S.A.
AS12929,Telia Norge AS
AS12958,T2 Mobile LLC
AS12969,Ljósleiðarinn ehf (Sýn)
AS13036,T-Mobile Czech Republic a.s.
AS13122,Manx Telecom Trading Ltd
AS13194,"UAB """"Bite Lietuva"""""
AS13771,Digicel Cayman Limited
AS14754,Claro Guatemala (Telgua)
AS15557,SFR SA
AS15735,GO p.l.c.
AS15796,Salt Mobile SA
AS15895,"""""Kyivstar"""" PJSC"
