AS800,OneWeb
AS4913,"""Speedcast Communications", Inc"
AS5666,"""Speedcast Communications", Inc"
AS6621,"""Hughes Network Systems", LLC"
AS7155,"""ViaSat",Inc."
AS8751,MEDIA SAT SRL
AS9021,Is Net Elektonik Bilgi Uretim Dagitim Ticaret ve Ilet...
AS9230,Bangladesh Online Ltd.
AS9249,Telecom Vanuatu Limited
AS9875,PT Pasifik Satelit Nusantara
AS10031,WebSatMedia Pte. Ltd.
AS10137,PT Telkom Satelit Indonesia
AS12684,SES ASTRA S.A.
AS14593,SpaceX Starlink
AS17648,Hughes Communications India Private Limited
AS24033,Australian Private Networks Pty Ltd
AS30844,Liquid Intelligent Technologies
AS31515,Inmarsat Global Limited
AS33763,Paratus Telecommunications Limited
AS33788,Kanar Telecommunication (Canar Telecom Co.Ltd)
AS35091,"""Teledata", Ghana"
AS37037,Orange Madagascar
AS38770,PT Tangara Mitrakom
AS39151,AXESS Networks Solutions Germany GmbH
AS39356,Avanti Broadband Ltd
AS43766,Zain Saudi Arabia
AS45700,PT Starlink Services Indonesia
AS47524,Turksat Uydu Haberlesme ve Kablo TV Isletme A.S.
AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.
AS56241,PT Telkom Satelit Indonesia
AS58726,iSATCOM
AS60725,SES ASTRA S.A.
AS62023,NYNEX satellite OHG
AS64294,Panasonic Avionics Corporation
AS133815,PT Primacom Interbuana
AS135409,Kacific Broadband Satellites Pte Ltd
AS139408,PT Sanatel
AS203101,NAVARINO SINGLE MEMBER S.A.
AS206283,Star Satellite Communications Company - PJSC
AS327931,Optimum Telecom Algeria
AS328866,NEWTELNET CAMEROUN SAS
AS328959,SO! Limited
AS329103,NINETEC SARL
