AS3,Massachusetts Institute of Technology
AS9,Carnegie Mellon University
AS32,Stanford University
AS160,The University of Chicago
AS174,"""Cogent Communications", LLC"
AS209,Lumen (ex. Qwest)
AS278,Universidad Nacional Autonoma de Mexico
AS553,BelWü
AS559,SWITCH
AS577,Bell Canada
AS680,Deutsches Forschungsnetz (DFN)
AS701,Verizon Business
AS719,Elisa Oyj
AS786,Jisc Services Limited
AS803,Saskatchewan Telecommunications
AS852,TELUS Communications Inc.
AS855,Bell Canada
AS1002,Bytefilter LLC
AS1101,SURF (Thunderlab)
AS1102,SURF B.V.
AS1103,SURF B.V.
AS1133,University of Twente
AS1136,KPN B.V.
AS1205,University Linz
AS1213,HEAnet CLG
AS1221,Telstra Limited
AS1241,Nova Telecommunications & Media Single Member S.A
AS1257,Tele2 Sverige AB
AS1267,WIND TRE S.P.A.
AS1299,Arelion (fka. Telia Carrier)
AS1403,EBOX
AS1653,Vetenskapsrådet / SUNET
AS1659,Taiwan Academic Network (TANet) Information Center
AS1680,Cellcom Fixed Line Communication L.P
AS1759,Telia Finland Oyj
AS1781,Korea Advanced Institute of Science and Technology
AS1835,Forskningsnettet - Danish NREN
AS1836,green.ch AG
AS2027,MilkyWan
AS2033,Panix
AS2108,Croatian Academic and Research Network
AS2116,GLOBALCONNECT AS
AS2119,Telenor Norge AS
AS2497,Internet Initiative Japan Inc.
AS2516,KDDI Corporation
AS2519,ARTERIA Networks Corporation
AS2603,NORDUnet
AS2611,BELNET
AS2614,Agentia de Administrare a Retelei Nationale de Inform...
AS2856,British Telecommunications
AS2860,"""NOS COMUNICACOES", S.A."
AS2900,Arizona Tri University Network
AS3061,ProvDotNet LLC
AS3164,Astimp IT Solution SRL
AS3170,VeloxServ Communications Ltd
AS3209,Vodafone GmbH
AS3214,xTom GmbH
AS3215,Orange S.A.
AS3223,Voxility LLP
AS3236,SERVER.UA LLC
AS3242,REEVO S.P.A.
AS3243,MEO
AS3249,Telia Eesti AS
AS3257,GTT Communications Inc.
AS3269,TIM S.p.A. (fka. Telecom Italia S.p.A.)
AS3292,TDC Holding A/S
AS3301,Telia Company AB
AS3303,Swisscom (Schweiz) AG
AS3320,Deutsche Telekom AG
AS3329,Vodafone Greece
AS3352,TELEFONICA DE ESPANA S.A.U.
AS3356,Lumen (Level 3)
AS3399,Obenet AB
AS3462,HiNet (Chunghwa Telecom)
AS3790,RADIOGRAFICA COSTARRICENSE
AS3842,"""InMotion Hosting", Inc."
AS3927,RGnet OU
AS4181,TDS TELECOM
AS4319,Cortland Electronics Corp.
AS4685,"""Asahi Net", Inc."
AS4713,NTT Communications Corporation (OCN)
AS4739,Internode Pty Ltd
AS4764,Aussie Broadband
AS4766,Korea Telecom
AS4804,Optus (Microplex PTY LTD)
AS4922,Shenandoah Cable Television LLC
AS5089,Virgin Media Limited
AS5378,Vodafone Limited
AS5390,Euronet Communications B.V.
AS5391,Hrvatski Telekom d.d.
AS5404,conova communications GmbH
AS5408,National Infrastructures for Research and Technology S.A.
AS5410,Bouygues Telecom SA
AS5432,Proximus NV
AS5466,Eircom Limited
AS5483,Magyar Telekom Plc.
AS5603,"""Telekom Slovenije", d.d."
AS5607,Sky UK
AS5617,Orange Polska Spolka Akcyjna
AS5645,"""TekSavvy Solutions", Inc."
AS5650,Frontier Communications
AS5769,Videotron Ltee
AS6079,RCN
AS6128,Cablevision Systems Corp.
AS6167,Verizon Business
AS6181,Cincinnati Bell Telephone Company LLC
AS6206,Netrouting B.V.
AS6315,"""XMission", L.C."
AS6327,Shaw Communications
AS6661,POST Luxembourg
AS6696,VERIXI SA
AS6698,Virtual Systems LLC
AS6718,NAV COMMUNICATIONS SRL
AS6724,Strato GmbH
AS6730,Sunrise GmbH
