AS2,University of Delaware
AS3,Massachusetts Institute of Technology
AS4,University of Southern California
AS8,Rice University
AS9,Carnegie Mellon University
AS12,New York University
AS14,Columbia University
AS17,Purdue University
AS18,University of Texas at Austin
AS20,University of Rochester
AS25,University of California at Berkeley
AS26,Cornell University
AS27,University of Maryland
AS29,Yale University
AS31,California Institute of Technology
AS32,Stanford University
AS34,University of Delaware
AS38,University of Illinois
AS46,"""Rutgers", The State University"
AS47,University of Southern California
AS52,"""University of California", Los Angeles"
AS55,University of Pennsylvania
AS57,University of Minnesota
AS59,University of Wisconsin Madison
AS69,University of Pennsylvania
AS73,University of Washington
AS77,Johns Hopkins University Applied Physics Laboratory
AS81,MCNC
AS87,Indiana University
AS88,Princeton University
AS92,Clarkson University
AS98,The Rockefeller University
AS101,University of Washington
AS103,Northwestern University
AS104,University of Colorado at Boulder
AS111,Boston University
AS131,"""University of California", Santa Barbara"
AS137,Consortium GARR
AS156,Northeastern University
AS159,Ohio State University
AS160,The University of Chicago
AS167,Wesleyan University
AS179,University of Michigan
AS180,University of Michigan
AS186,The Catholic University of America
AS194,University Corporation for Atmospheric Research
AS205,Montclair State University
AS217,University of Minnesota
AS224,Sikt (Uninett)
AS225,University of Virginia
AS239,University of Toronto
AS271,BCNET
AS276,University of Texas System
AS278,Universidad Nacional Autonoma de Mexico
AS293,ESnet
AS299,"""University of California", Irvine"
AS376,Reseau d'Informations Scientifiques du Quebec (RISQ Inc.)
AS378,IUCC - Israel InterUniversity Computation Center
AS513,CERN
AS549,ORION
AS553,BelWü
AS557,University of Maine System
AS559,SWITCH
AS589,University of North Texas
AS600,OARnet
AS611,NB-PEI Educational Computer Network
AS675,Minnesota State Colleges and Universities
AS679,Technische Universitat Wien
AS680,Deutsches Forschungsnetz (DFN)
AS681,University of Waikato
AS693,University of Notre Dame
AS698,University of Illinois
AS760,Vienna University Computer Center
AS766,Entidad Publica Empresarial Red.es
AS786,Jisc Services Limited
AS802,York University
AS823,University of Western Ontario
AS919,The Howard University
AS1044,Blinn College
AS1048,MERLIN
AS1103,SURF B.V.
AS1104,Nikhef - Dutch National Institute for Sub-atomic Physics
AS1109,Universitaet Salzburg
AS1111,Universitaet Klagenfurt
AS1112,Montanuniversitaet Leoben
AS1113,Technische Universitaet Graz
AS1114,Universitaet Graz
AS1117,"""Universitaet fur Bodenkultur", Wien"
AS1124,Universiteit van Amsterdam
AS1128,Technische Universiteit Delft
AS1133,University of Twente
AS1161,Technische Universiteit Eindhoven
AS1201,Old Dominion University
AS1204,The State University of New York
AS1205,University Linz
AS1213,ASIERA TECHNOLOGY SERVICES CLG
AS1237,KISTI
AS1249,University of Massachusetts - AMHERST
AS1251,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO
AS1252,University of Nebraska Medical Center
AS1289,Colgate University
AS1351,University of Vermont
AS1411,Christopher Newport University
AS1416,Chicago Public Schools
AS1439,Spring Branch Independent School District
AS1603,Henderson State University
AS1648,Jefferson Parish School Board
AS1650,Cambridge Public Schools
AS1653,Vetenskapsrådet / SUNET
AS1657,University of Louisville
AS1659,Taiwan Academic Network (TANet) Information Center
AS1700,Rice University
AS1702,CHICAGO STATE UNIVERSITY
AS1706,The University of Arizona
AS1712,Renater
AS1736,Marquette University
AS1741,CSC - Tieteen tietotekniikan keskus Oy
AS1742,Harvard University
AS1776,WU (Wirtschaftsuniversitaet Wien) - Vienna University...
AS1777,Saint Xavier University
AS1781,Korea Advanced Institute of Science and Technology
AS1826,University of Arkansas-Fort Smith
AS1831,"""ITESO", A.C."
AS1832,Southern Methodist University
AS1835,Forskningsnettet - Danish NREN
AS1840,Universidad de Las Americas-Puebla
AS1851,Adelaide University
AS1852,University of California - Office of the President
AS1853,ACONET
AS1916,RNP - Rede Nacional de Ensino e Pesquisa
AS1926,Tampere University Foundation
AS1929,University of Massachusetts - AMHERST
AS1930,"""Fundacao para a Ciencia e a Tecnologia", I.P."
AS1955,KIFU (Governmental Info Tech Development Agency)
AS1967,Middle East Technical University
AS1968,UMASSNET
AS1970,Texas A&M University
AS2018,TENET (The UNINET Project)
AS2025,University of Toledo
AS2037,California State University at Fresno
AS2055,Louisiana State University
AS2094,Renater
AS2107,ARNES
AS2108,Croatian Academic and Research Network
AS2152,CENIC - CalREN
AS2153,CENIC
AS2200,Renater
AS2381,WiscNet
AS2495,Kansas Research and Education Network
AS2496,University of Kansas
AS2501,The University of Tokyo
AS2504,Kyoto University
AS2508,Kyushu University
AS2549,Universidad de Guadalajara
AS2552,Washington University
AS2553,Florida State University
AS2563,Seoul Christain University
AS2572,Missouri Research and Education Network (MOREnet)
AS2592,Ege University
AS2593,Universita di Padova
AS2598,Consiglio Nazionale delle Ricerche
AS2602,Fondation RESTENA
AS2603,NORDUnet
AS2604,Graz University of Music and Performing Arts
AS2607,Zdruzenie pouzivatelov Slovenskej akademickej datovej...
AS2611,BELNET
AS2614,Agentia de Administrare a Retelei Nationale de Inform...
AS2637,Georgia Institute of Technology
AS2683,Lomonosov Moscow State University
AS2698,Iowa State University of Science and Technology
AS2701,Kansas State University
AS2708,Universidad de Guanajuato
AS2715,Fundação Carlos Chagas Filho de Amparo a Pesquisa
AS2716,Universidade Federal do Rio Grande do Sul
AS2831,Luleå Tekniska Universitet
AS2832,Vetenskapsradet / SUNET
AS2833,Umeå University
AS2834,Uppsala University
AS2837,Karolinska Institutet
AS2838,Stockholm University
AS2839,Kungliga Tekniska Högskolan
AS2841,Chalmers University of Technology
AS2842,Goteborgs universitet
AS2843,Linköpings universitet
AS2845,Lund University
AS2846,Lund University
AS2847,Lithuanian Research and Education Network
AS2848,Federal State Budgetary Educational Institution of Hi...
AS2850,University College Dublin
AS2852,CESNET z.s.p.o.
AS2857,Johannes Gutenberg-Universitaet Mainz
AS2900,Arizona Tri University Network
AS2902,University of Wyoming
AS2904,Universidad Autonoma De Ciudad Juarez
AS2907,Science Information Network
AS3128,University of Wisconsin System
AS3140,The Thomas Jefferson High School for Science and Tech.
AS3141,Benemerita Universidad Autonoma de Puebla
AS3208,Algerian Academic Research Network
AS3221,Estonian Education and Research Network
AS3240,Styrelsen for It og Læring
AS3241,Institute of Electronics and Computer Science
